 Value, Timestamp,,,,,,,,,healthy values,,attacked values
269.2386, 7/7/2015 10:37:41 AM,,,,,,,,,287.4135,,288.2851
269.2386, 7/7/2015 10:37:42 AM,,,,,,,,,287.4135,,288.2851
269.2386, 7/7/2015 10:37:43 AM,,,,,,,,,287.4135,,288.362
269.2386, 7/7/2015 10:37:44 AM,,,,,,,,,287.516,,288.4389
269.2386, 7/7/2015 10:37:45 AM,,,,,,,,,287.516,,288.4389
269.2386, 7/7/2015 10:37:46 AM,,,,,,,,,287.5673,,288.4389
269.2386, 7/7/2015 10:37:47 AM,,,,,,,,,287.6442,,288.4389
269.2386, 7/7/2015 10:37:48 AM,,,,,,,,,287.6442,,288.567
269.2386, 7/7/2015 10:37:49 AM,,,,,,,,,287.6442,,288.567
269.2386, 7/7/2015 10:37:50 AM,,,,,,,,,287.6442,,288.567
269.2386, 7/7/2015 10:37:51 AM,,,,,,,,,287.6442,,288.567
269.2386, 7/7/2015 10:37:52 AM,,,,,,,,,287.5673,,288.567
269.2386, 7/7/2015 10:37:53 AM,,,,,,,,,287.4135,,288.567
269.2386, 7/7/2015 10:37:54 AM,,,,,,,,,287.3366,,288.567
269.2386, 7/7/2015 10:37:55 AM,,,,,,,,,287.1571,,288.567
269.2386, 7/7/2015 10:37:56 AM,,,,,,,,,287.1571,,288.567
269.2386, 7/7/2015 10:37:57 AM,,,,,,,,,287.1571,,288.567
269.2386, 7/7/2015 10:37:58 AM,,,,,,,,,287.1571,,288.6183
269.2386, 7/7/2015 10:37:59 AM,,,,,,,,,286.9008,,288.6952
269.2386, 7/7/2015 10:38:00 AM,,,,,,,,,286.9008,,288.6952
269.2386, 7/7/2015 10:38:01 AM,,,,,,,,,286.6701,,288.6952
269.2386, 7/7/2015 10:38:02 AM,,,,,,,,,286.5419,,288.6952
269.2386, 7/7/2015 10:38:03 AM,,,,,,,,,286.5419,,288.7977
269.2386, 7/7/2015 10:38:04 AM,,,,,,,,,286.5419,,288.8746
