Attacked value, Timestamp,,,,,,healthy value
88.91951, 30/6/2015 3:38:08 PM,,,,,,127.1789
88.75929, 30/6/2015 3:38:09 PM,,,,,,127.1789
88.53499, 30/6/2015 3:38:10 PM,,,,,,127.1789
88.37478, 30/6/2015 3:38:11 PM,,,,,,127.3712
88.37478, 30/6/2015 3:38:12 PM,,,,,,127.6275
88.37478, 30/6/2015 3:38:13 PM,,,,,,127.6275
88.37478, 30/6/2015 3:38:14 PM,,,,,,127.6275
88.37478, 30/6/2015 3:38:15 PM,,,,,,127.6275
88.37478, 30/6/2015 3:38:16 PM,,,,,,127.6275
88.37478, 30/6/2015 3:38:17 PM,,,,,,127.8518
88.82338, 30/6/2015 3:38:18 PM,,,,,,127.8518
88.91951, 30/6/2015 3:38:19 PM,,,,,,128.0441
89.17585, 30/6/2015 3:38:20 PM,,,,,,128.0441
89.17585, 30/6/2015 3:38:21 PM,,,,,,128.0441
89.49628, 30/6/2015 3:38:22 PM,,,,,,128.0441
89.49628, 30/6/2015 3:38:23 PM,,,,,,128.3004
89.49628, 30/6/2015 3:38:24 PM,,,,,,128.3004
89.49628, 30/6/2015 3:38:25 PM,,,,,,128.3004
89.23994, 30/6/2015 3:38:26 PM,,,,,,128.3004
89.23994, 30/6/2015 3:38:27 PM,,,,,,128.3004
89.23994, 30/6/2015 3:38:28 PM,,,,,,128.4927
89.23994, 30/6/2015 3:38:29 PM,,,,,,128.4927
89.23994, 30/6/2015 3:38:30 PM,,,,,,128.4927
89.23994, 30/6/2015 3:38:31 PM,,,,,,128.4927
89.23994, 30/6/2015 3:38:32 PM,,,,,,128.4927
88.85542, 30/6/2015 3:38:33 PM,,,,,,128.4927
88.66316, 30/6/2015 3:38:34 PM,,,,,,128.4927
88.66316, 30/6/2015 3:38:35 PM,,,,,,128.0441
88.34274, 30/6/2015 3:38:36 PM,,,,,,127.8518
88.34274, 30/6/2015 3:38:37 PM,,,,,,127.6916
87.798, 30/6/2015 3:38:38 PM,,,,,,127.243
87.798, 30/6/2015 3:38:39 PM,,,,,,127.243
87.22122, 30/6/2015 3:38:40 PM,,,,,,126.7303
87.22122, 30/6/2015 3:38:41 PM,,,,,,126.5701
87.22122, 30/6/2015 3:38:42 PM,,,,,,126.0254
87.22122, 30/6/2015 3:38:43 PM,,,,,,125.6088
87.06101, 30/6/2015 3:38:44 PM,,,,,,125.3845
87.06101, 30/6/2015 3:38:45 PM,,,,,,125.3845
87.06101, 30/6/2015 3:38:46 PM,,,,,,125.3845
87.3494, 30/6/2015 3:38:47 PM,,,,,,125.3845
87.50961, 30/6/2015 3:38:48 PM,,,,,,125.3845
87.798, 30/6/2015 3:38:49 PM,,,,,,125.3845
88.34274, 30/6/2015 3:38:50 PM,,,,,,125.3845
88.43886, 30/6/2015 3:38:51 PM,,,,,,125
88.43886, 30/6/2015 3:38:52 PM,,,,,,125
88.95155, 30/6/2015 3:38:53 PM,,,,,,125
89.07972, 30/6/2015 3:38:54 PM,,,,,,124.8398
89.07972, 30/6/2015 3:38:55 PM,,,,,,124.8398
89.07972, 30/6/2015 3:38:56 PM,,,,,,124.7757
89.07972, 30/6/2015 3:38:57 PM,,,,,,124.6475
89.07972, 30/6/2015 3:38:58 PM,,,,,,124.1348
89.07972, 30/6/2015 3:38:59 PM,,,,,,123.8785
89.07972, 30/6/2015 3:39:00 PM,,,,,,123.526
89.07972, 30/6/2015 3:39:01 PM,,,,,,123.526
89.07972, 30/6/2015 3:39:02 PM,,,,,,122.9813
89.07972, 30/6/2015 3:39:03 PM,,,,,,122.7249
89.07972, 30/6/2015 3:39:04 PM,,,,,,122.02
89.07972, 30/6/2015 3:39:05 PM,,,,,,121.5714
89.07972, 30/6/2015 3:39:06 PM,,,,,,121.0587
89.01564, 30/6/2015 3:39:07 PM,,,,,,120.6421
88.43886, 30/6/2015 3:39:08 PM,,,,,,120.3538
88.05434, 30/6/2015 3:39:09 PM,,,,,,120.0974
87.99026, 30/6/2015 3:39:10 PM,,,,,,119.809
87.70187, 30/6/2015 3:39:11 PM,,,,,,119.3925
87.5737, 30/6/2015 3:39:12 PM,,,,,,119.3925
87.38144, 30/6/2015 3:39:13 PM,,,,,,119.2963
87.38144, 30/6/2015 3:39:14 PM,,,,,,119.2963
87.38144, 30/6/2015 3:39:15 PM,,,,,,119.2963
87.31735, 30/6/2015 3:39:16 PM,,,,,,119.3925
87.31735, 30/6/2015 3:39:17 PM,,,,,,119.6168
87.31735, 30/6/2015 3:39:18 PM,,,,,,119.6168
88.0223, 30/6/2015 3:39:19 PM,,,,,,119.6168
88.18252, 30/6/2015 3:39:20 PM,,,,,,119.5527
88.53499, 30/6/2015 3:39:21 PM,,,,,,119.5206
88.53499, 30/6/2015 3:39:22 PM,,,,,,119.5206
88.82338, 30/6/2015 3:39:23 PM,,,,,,119.2002
88.82338, 30/6/2015 3:39:24 PM,,,,,,119.072
89.01564, 30/6/2015 3:39:25 PM,,,,,,118.7516
89.40015, 30/6/2015 3:39:26 PM,,,,,,118.7516
89.40015, 30/6/2015 3:39:27 PM,,,,,,118.7516
89.40015, 30/6/2015 3:39:28 PM,,,,,,118.7516
89.40015, 30/6/2015 3:39:29 PM,,,,,,118.7516
89.40015, 30/6/2015 3:39:30 PM,,,,,,119.04
89.40015, 30/6/2015 3:39:31 PM,,,,,,119.3284
89.40015, 30/6/2015 3:39:32 PM,,,,,,119.3284
89.40015, 30/6/2015 3:39:33 PM,,,,,,119.3284
88.79134, 30/6/2015 3:39:34 PM,,,,,,118.8798
88.43886, 30/6/2015 3:39:35 PM,,,,,,118.5273
88.0223, 30/6/2015 3:39:36 PM,,,,,,118.1107
87.47757, 30/6/2015 3:39:37 PM,,,,,,117.9505
87.15714, 30/6/2015 3:39:38 PM,,,,,,117.1495
86.67649, 30/6/2015 3:39:39 PM,,,,,,116.4765
86.67649, 30/6/2015 3:39:40 PM,,,,,,115.9959
86.09972, 30/6/2015 3:39:41 PM,,,,,,115.4512
86.09972, 30/6/2015 3:39:42 PM,,,,,,114.9705
86.09972, 30/6/2015 3:39:43 PM,,,,,,114.9705
86.29198, 30/6/2015 3:39:44 PM,,,,,,114.0733
86.74058, 30/6/2015 3:39:45 PM,,,,,,114.0733
86.90079, 30/6/2015 3:39:46 PM,,,,,,113.8811
87.38144, 30/6/2015 3:39:47 PM,,,,,,113.7529
87.38144, 30/6/2015 3:39:48 PM,,,,,,113.7529
87.70187, 30/6/2015 3:39:49 PM,,,,,,113.4645
87.95821, 30/6/2015 3:39:50 PM,,,,,,113.2402
87.95821, 30/6/2015 3:39:51 PM,,,,,,113.2402
87.95821, 30/6/2015 3:39:52 PM,,,,,,113.2082
87.95821, 30/6/2015 3:39:53 PM,,,,,,113.2082
87.95821, 30/6/2015 3:39:54 PM,,,,,,113.2082
87.86208, 30/6/2015 3:39:55 PM,,,,,,113.2082
87.47757, 30/6/2015 3:39:56 PM,,,,,,113.2082
87.47757, 30/6/2015 3:39:57 PM,,,,,,113.2082
87.47757, 30/6/2015 3:39:58 PM,,,,,,113.2082
87.31735, 30/6/2015 3:39:59 PM,,,,,,113.2082
87.31735, 30/6/2015 3:40:00 PM,,,,,,113.2082
87.25327, 30/6/2015 3:40:01 PM,,,,,,113.2082
87.25327, 30/6/2015 3:40:02 PM,,,,,,113.2082
87.66983, 30/6/2015 3:40:03 PM,,,,,,112.7916
87.66983, 30/6/2015 3:40:04 PM,,,,,,112.5352
88.11843, 30/6/2015 3:40:05 PM,,,,,,111.8944
88.34274, 30/6/2015 3:40:06 PM,,,,,,111.8944
88.34274, 30/6/2015 3:40:07 PM,,,,,,111.7342
88.34274, 30/6/2015 3:40:08 PM,,,,,,111.7342
88.34274, 30/6/2015 3:40:09 PM,,,,,,111.4137
87.89413, 30/6/2015 3:40:10 PM,,,,,,111.2215
87.86208, 30/6/2015 3:40:11 PM,,,,,,110.869
87.86208, 30/6/2015 3:40:12 PM,,,,,,110.2922
87.47757, 30/6/2015 3:40:13 PM,,,,,,110.2922
87.47757, 30/6/2015 3:40:14 PM,,,,,,110.2922
87.22122, 30/6/2015 3:40:15 PM,,,,,,110.2922
87.22122, 30/6/2015 3:40:16 PM,,,,,,110.2922
87.22122, 30/6/2015 3:40:17 PM,,,,,,110.2922
87.22122, 30/6/2015 3:40:18 PM,,,,,,110.2922
87.54166, 30/6/2015 3:40:19 PM,,,,,,110.2922
87.86208, 30/6/2015 3:40:20 PM,,,,,,110.2922
87.86208, 30/6/2015 3:40:21 PM,,,,,,110.6127
87.86208, 30/6/2015 3:40:22 PM,,,,,,110.9011
88.15047, 30/6/2015 3:40:23 PM,,,,,,110.9011
88.31069, 30/6/2015 3:40:24 PM,,,,,,110.9011
88.31069, 30/6/2015 3:40:25 PM,,,,,,110.9011
88.31069, 30/6/2015 3:40:26 PM,,,,,,110.2281
88.31069, 30/6/2015 3:40:27 PM,,,,,,110.1
87.798, 30/6/2015 3:40:28 PM,,,,,,110.0359
87.70187, 30/6/2015 3:40:29 PM,,,,,,109.6514
87.70187, 30/6/2015 3:40:30 PM,,,,,,109.5552
87.41348, 30/6/2015 3:40:31 PM,,,,,,109.1707
87.06101, 30/6/2015 3:40:32 PM,,,,,,109.1066
86.67649, 30/6/2015 3:40:33 PM,,,,,,109.1066
86.42015, 30/6/2015 3:40:34 PM,,,,,,109.1066
86.13176, 30/6/2015 3:40:35 PM,,,,,,109.1066
85.81133, 30/6/2015 3:40:36 PM,,,,,,109.395
85.81133, 30/6/2015 3:40:37 PM,,,,,,109.4271
85.58703, 30/6/2015 3:40:38 PM,,,,,,109.4271
85.33068, 30/6/2015 3:40:39 PM,,,,,,109.4271
85.2666, 30/6/2015 3:40:40 PM,,,,,,109.4271
85.2666, 30/6/2015 3:40:41 PM,,,,,,109.1387
85.2666, 30/6/2015 3:40:42 PM,,,,,,109.1387
85.58703, 30/6/2015 3:40:43 PM,,,,,,109.0746
85.58703, 30/6/2015 3:40:44 PM,,,,,,108.9144
85.58703, 30/6/2015 3:40:45 PM,,,,,,108.9144
85.58703, 30/6/2015 3:40:46 PM,,,,,,108.9144
85.58703, 30/6/2015 3:40:47 PM,,,,,,109.3309
85.58703, 30/6/2015 3:40:48 PM,,,,,,109.5873
85.17047, 30/6/2015 3:40:49 PM,,,,,,109.5873
85.07434, 30/6/2015 3:40:50 PM,,,,,,109.8116
85.01025, 30/6/2015 3:40:51 PM,,,,,,109.8116
84.68982, 30/6/2015 3:40:52 PM,,,,,,109.8116
84.68982, 30/6/2015 3:40:53 PM,,,,,,109.9398
84.68982, 30/6/2015 3:40:54 PM,,,,,,109.9398
84.85004, 30/6/2015 3:40:55 PM,,,,,,109.4912
84.85004, 30/6/2015 3:40:56 PM,,,,,,108.9785
84.85004, 30/6/2015 3:40:57 PM,,,,,,108.626
84.85004, 30/6/2015 3:40:58 PM,,,,,,108.5299
84.52961, 30/6/2015 3:40:59 PM,,,,,,108.1453
84.46552, 30/6/2015 3:41:00 PM,,,,,,107.889
84.46552, 30/6/2015 3:41:01 PM,,,,,,107.889
84.46552, 30/6/2015 3:41:02 PM,,,,,,107.6647
84.27326, 30/6/2015 3:41:03 PM,,,,,,107.5045
84.04897, 30/6/2015 3:41:04 PM,,,,,,107.4084
84.04897, 30/6/2015 3:41:05 PM,,,,,,106.9277
84.04897, 30/6/2015 3:41:06 PM,,,,,,106.9277
84.04897, 30/6/2015 3:41:07 PM,,,,,,107.0879
84.04897, 30/6/2015 3:41:08 PM,,,,,,107.1841
84.04897, 30/6/2015 3:41:09 PM,,,,,,107.1841
84.04897, 30/6/2015 3:41:10 PM,,,,,,106.5752
83.88875, 30/6/2015 3:41:11 PM,,,,,,106.4471
83.88875, 30/6/2015 3:41:12 PM,,,,,,106.0625
83.88875, 30/6/2015 3:41:13 PM,,,,,,106.0305
83.69649, 30/6/2015 3:41:14 PM,,,,,,105.9023
83.24789, 30/6/2015 3:41:15 PM,,,,,,105.6139
